Question,Expected Answer,Generated Answer,Exact Match,Semantic Match,Similarity Score,Response Time (sec)
What is the name of the college?,"Government Hydro Engineering College Bandla, Bilaspur (GHEC).","Government Hydro Engineering College Bandla, Bilaspur (GHEC).",True,True,1.0,12.27
Where is GHEC located?,"Government Hydro Engineering College is located in Bandla, Bilaspur, Himachal Pradesh.",Bilaspur.,False,False,0.6496,3.77
When was the college established?,"Government Hydro Engineering College Bandla, Bilaspur was established in the academic session 2017-2018.","Government Hydro Engineering College Bandla, Bilaspur was established in the academic session 2017–2018.",True,True,0.9983,5.59
Is GHEC a government college?,"Yes, GHEC is a government engineering college.",Yes.,False,False,0.5073,3.57
Which university is the college affiliated with?,The college is affiliated with Himachal Pradesh Technical University.,The college is affiliated with Himachal Pradesh Technical University.,True,True,1.0,4.46
Who is the Director of the college?,The Director of the college is Dr. Umesh Chand Rathore.,The Director of the college is Dr. Umesh Chand Rathore.,True,True,1.0,4.7
What courses are offered in the college?,"The college offers Civil Engineering, Electrical Engineering, and Computer Science Engineering programs.","The college offers Civil Engineering (CE), Electrical Engineering (EE), and Computer Science Engineering with specialization in Artificial Intelligence & Data Science (CSE – AI & DS).",False,True,0.865,6.68
Is postgraduate education available?,"Yes, postgraduate education is available.",Yes.,False,False,0.6349,3.39
Does the college offer M.Tech?,"Yes, the college offers M.Tech in Electrical Engineering.",Yes.,False,False,0.525,3.36
Is hostel facility available?,"Yes, hostel facilities are available for students.","Yes, hostel facilities are available with basic amenities.",False,True,0.8722,4.24
Are separate hostels available for boys and girls?,"Yes, separate hostel facilities are available for boys and girls.","Yes, separate hostels are available for boys and girls.",False,True,0.9889,4.36
What facilities are available in hostel rooms?,"Hostel rooms include beds, study tables, chairs, and cupboards.","Hostel rooms generally include beds, study tables, chairs, and cupboards.",False,True,0.9846,4.8
How many students stay in one hostel room?,There are 3 students staying in one room.,There are 3 students staying in one room.,True,True,1.0,4.21
Does each student get a separate bed?,"Yes, each student is provided with a separate bed.","Yes, each student is provided with a separate bed.",True,True,1.0,4.43
Is Wi-Fi available in the hostel?,"Yes, Wi-Fi facilities are available.",Internet or Wi-Fi is available in hostel.,False,False,0.7684,4.08
Does hostel Wi-Fi work during power cuts?,"No, hostel Wi-Fi is not available during blackouts.",No.,False,False,0.489,3.4
Is power backup available in hostels?,"No, power backup is not available in hostels.",No.,False,False,0.4874,3.3
Does the college provide generator backup?,"Yes, generators are installed to provide backup in important areas.",Yes.,False,False,0.5163,3.37
Do classrooms have electricity backup?,"Yes, classrooms have backup at reduced capacity.","Yes, classrooms have backup at reduced capacity.",True,True,1.0,4.23
Are labs protected from power cuts?,"Yes, labs have UPS support for short interruptions.","Yes, labs have UPS support for short interruptions.",True,True,1.0,4.13
Is library backup available during outages?,"Yes, library has backup at reduced capacity.","Yes, but at reduced capacity.",False,True,0.8375,3.85
Who manages the hostel?,The Chief Warden manages both boys and girls hostels.,The hostel is managed by a Chief Warden who supervises both boys’ and girls’ hostels.,False,True,0.9624,5.82
How many security guards are available in each hostel?,Each hostel has two security guards.,Each hostel has two security guards.,True,True,1.0,4.03
Is there a caretaker in the hostel?,"Yes, each hostel has one caretaker.","Yes, each hostel has one caretaker.",True,True,1.0,4.23
Who should students contact for hostel issues?,Students should contact the caretaker for minor hostel issues.,"Students should contact the caretaker for minor issues, and for more serious problems, they should contact the hostel warden or hostel office.",False,True,0.9467,5.98
Who handles electrical complaints?,Maintenance staff handle electrical complaints.,Maintenance staff handle such issues.,False,True,0.875,3.67
What are the placement opportunities in the college?,The college provides placement opportunities through various recruiting companies.,"The college provides placement training including aptitude training, group discussions, mock interviews, communication skills development, and technical preparation for campus placements.",False,False,0.7785,6.08
